random_seed,coroutines_count,coroutines_limit,awaitings_count,expected_sleep_time,total_slept_for,min_coro_time,max_coro_time,avg_coro_time,median_coro_time,total_diff_elapsed_time
1234,20,20,10,5.227809442722849,0.48645713296718895,0.06558593199588358,0.4857333779800683,0.2678460295370314,0.3032648670487106,0.12911114801777918
1234,20,20,15,5.227809442722849,0.48821383994072676,0.06781985703855753,0.4877947249915451,0.2710190717945807,0.30668683897238225,0.192571993168764
1234,20,20,20,5.227809442722849,0.49053690291475505,0.06887263595126569,0.49014953908044845,0.27392612884286793,0.30818127701058984,0.25071313413450885
1234,20,20,25,5.227809442722849,0.49048517900519073,0.07253060606308281,0.4900222740834579,0.27631775783374907,0.31185878394171596,0.29854571395213175
1234,20,20,30,5.227809442722849,0.4932926920009777,0.0708196060732007,0.4928739200113341,0.27758704738225787,0.3129272119840607,0.3239315049223082
1234,20,20,35,5.227809442722849,0.5029128830647096,0.08328408596571535,0.5025147059932351,0.2828321188921109,0.3183676899643615,0.4288329351193683
1234,20,20,40,5.227809442722849,0.5007692329818383,0.09274363797158003,0.5003862259909511,0.28504540368448944,0.3221907519036904,0.4730986309669392
1234,20,20,45,5.227809442722849,0.5071627509314567,0.09097462589852512,0.5066706059733406,0.291478148609167,0.32336196198593825,0.6017535294604899
1234,20,21,10,5.227809442722849,0.4842770010000095,0.06457406596746296,0.48385069193318486,0.2676101207500324,0.3034168370068073,0.12439297227779794
1234,20,21,15,5.227809442722849,0.4904069600161165,0.06773653603158891,0.4899960489710793,0.27093866975046693,0.30450372595805675,0.1909639522864895
1234,20,21,20,5.227809442722849,0.4945065709762275,0.06962089904118329,0.4941486739553511,0.27440342800691725,0.3094828510656953,0.2602591174154954
1234,20,21,25,5.227809442722849,0.49515831796452403,0.06724178697913885,0.49475466297008097,0.27640406229766085,0.31015309307258576,0.3002718032303678
1234,20,21,30,5.227809442722849,0.49611811398062855,0.07126437895931304,0.4957050400553271,0.27930426604580133,0.31280490302015096,0.35827587819317747
1234,20,21,35,5.227809442722849,0.498961093951948,0.08341719605959952,0.4984903340227902,0.2823631110135466,0.3208177919732407,0.41945277754808236
1234,20,21,40,5.227809442722849,0.506439721910283,0.10490744304843247,0.5059392709517851,0.2895483393454924,0.3278134659631178,0.563157344186999
1234,20,21,45,5.227809442722849,0.503813189920038,0.08968605403788388,0.503325465018861,0.2898263426497579,0.3190538650378585,0.5687174102723078
1234,20,22,10,5.227809442722849,0.48361505300272256,0.06621165096294135,0.48314586596097797,0.2675143956905231,0.3020333119202405,0.1224784710876124
1234,20,22,15,5.227809442722849,0.4894614079967141,0.06778673199005425,0.48896891297772527,0.27052939489949496,0.3057168029481545,0.18277845526704956
1234,20,22,20,5.227809442722849,0.48863526503555477,0.0692419660044834,0.4880337560316548,0.2732118263549637,0.3052238479722291,0.23642708437642473
1234,20,22,25,5.227809442722849,0.49469330604188144,0.06720053101889789,0.4942978100152686,0.2767953635717276,0.3094437640393153,0.3080978287117036
1234,20,22,30,5.227809442722849,0.49555241502821445,0.07374551496468484,0.4951709299348295,0.2791490935895126,0.31401764298789203,0.35517242906740326
1234,20,22,35,5.227809442722849,0.5023388139670715,0.08804087492171675,0.5018927949713543,0.2840965448413044,0.31651893293019384,0.45412145410323906
1234,20,22,40,5.227809442722849,0.5010646119480953,0.0956829140195623,0.5007032239809632,0.2854062447033357,0.32668915402609855,0.4803154513438644
1234,20,22,45,5.227809442722849,0.5051559479907155,0.08813964889850467,0.5048218050505966,0.2904041066474747,0.32093312800861895,0.5802726902266444
1234,20,23,10,5.227809442722849,0.48493771895300597,0.0663779890164733,0.4844211010495201,0.26782085544546136,0.3033267790451646,0.1286076661863776
1234,20,23,15,5.227809442722849,0.4864090869668871,0.06771467998623848,0.4860165680292994,0.2703428992594127,0.304467284004204,0.17904854246540386
1234,20,23,20,5.227809442722849,0.49392907693982124,0.06934580591041595,0.49347496300470084,0.2737035318918061,0.30872995604295284,0.24626119511327166
1234,20,23,25,5.227809442722849,0.49428656604140997,0.06822562695015222,0.4939049379900098,0.2764289188955445,0.30974781000986695,0.3007689351880403
1234,20,23,30,5.227809442722849,0.49653680296614766,0.07283233106136322,0.49606787192169577,0.27832138299709186,0.3136289659887552,0.3386182172189878
1234,20,23,35,5.227809442722849,0.49901425500866026,0.08291414298582822,0.4986262869788334,0.2829211441916414,0.3234483359847218,0.43061344110997785
1234,20,23,40,5.227809442722849,0.5011265699286014,0.09542161598801613,0.5006172289140522,0.28489028807962313,0.32561360695399344,0.4699963188696133
1234,20,23,45,5.227809442722849,0.510165610932745,0.08680625504348427,0.5097834639018402,0.2896892909076996,0.3172772820107639,0.5659763754311429
1234,20,24,10,5.227809442722849,0.4842951729660854,0.06348232098389417,0.4838676690123975,0.2674003752472345,0.3027165390085429,0.12019806222184021
1234,20,24,15,5.227809442722849,0.48571993689984083,0.06816084496676922,0.48528906400315464,0.27066258785780517,0.3050670209340751,0.18544231443325448
1234,20,24,20,5.227809442722849,0.4944054010557011,0.06958187697455287,0.4940564319258556,0.2737339220708236,0.307324229972437,0.24686899869362283
1234,20,24,25,5.227809442722849,0.49479899392463267,0.07275537599343807,0.4943516249768436,0.27638666540151463,0.31302042794413865,0.299923865307443
1234,20,24,30,5.227809442722849,0.49595697096083313,0.07503725308924913,0.49551303300540894,0.2802073911938351,0.3164526700275019,0.37633838115385193
1234,20,24,35,5.227809442722849,0.5007619759999216,0.08251027599908412,0.500381572986953,0.2828819736489095,0.3197851999429986,0.4298300302553402
1234,20,24,40,5.227809442722849,0.5066577740944922,0.09555498708505183,0.5061060660518706,0.28623476961511185,0.3251799060963094,0.4968859495793881
1234,20,24,45,5.227809442722849,0.5065111899748445,0.08554021001327783,0.5061165179358795,0.29025809779413975,0.3178177699446678,0.5773525131599457
1234,20,25,10,5.227809442722849,0.485521106980741,0.06640825897920877,0.48511012294329703,0.2683815865544602,0.3030466630589217,0.13982228836635519
1234,20,25,15,5.227809442722849,0.4860175020294264,0.06843182491138577,0.48551734699867666,0.27066138389054684,0.30628002993762493,0.1854182350880878
1234,20,25,20,5.227809442722849,0.49199796898756176,0.06950191000942141,0.4914631670108065,0.27475764514529144,0.3092642939882353,0.2673434601829799
1234,20,25,25,5.227809442722849,0.4948570439592004,0.06724222702905536,0.4944763439707458,0.2761447456956375,0.31124767393339425,0.2950854711899014
1234,20,25,30,5.227809442722849,0.493981498060748,0.07113785808905959,0.4935877729440108,0.2786479063739534,0.3146273420425132,0.34514868475621957
1234,20,25,35,5.227809442722849,0.5020150759955868,0.08322271704673767,0.5015891200164333,0.2828425280575175,0.32037605601362884,0.4290411184275003
1234,20,25,40,5.227809442722849,0.5018303249962628,0.09683928696904331,0.5014004429103807,0.2850335192924831,0.3213746880646795,0.47286094312681276
1234,20,25,45,5.227809442722849,0.5076549319783226,0.08633042499423027,0.5072065209969878,0.2895278584852349,0.3181400269968435,0.5627477269818486
1234,20,26,10,5.227809442722849,0.48470260901376605,0.06436936696991324,0.484275704016909,0.26785829865839333,0.3030180740170181,0.1293565304450171
1234,20,26,15,5.227809442722849,0.4855046080192551,0.06840945093426853,0.4850445819320157,0.2709417543315794,0.3062271539820358,0.19102564390873927
1234,20,26,20,5.227809442722849,0.48978953005280346,0.07415534998290241,0.4893273540074006,0.2760917108040303,0.3058742700377479,0.2940247733577566
1234,20,26,25,5.227809442722849,0.49367690295912325,0.06848426209762692,0.49324239406269044,0.27654234374058434,0.31372415099758655,0.3030374320888372
1234,20,26,30,5.227809442722849,0.49425123597029597,0.07125914399512112,0.4938185509527102,0.27861802699044347,0.3149536089040339,0.34455109708602
1234,20,26,35,5.227809442722849,0.5016941409558058,0.08255242800805718,0.5012757580261678,0.283032400207594,0.32390802598092705,0.4328385614290314
1234,20,26,40,5.227809442722849,0.5026209619827569,0.0959718709345907,0.5022374540567398,0.28533009898965245,0.31973557104356587,0.47879253707020003
1234,20,26,45,5.227809442722849,0.5063445949926972,0.08866825292352587,0.505955390050076,0.2899151464924216,0.3178545779082924,0.5704934871255831
1234,20,27,10,5.227809442722849,0.48732422397006303,0.0656032400438562,0.48687953292392194,0.26804238418699244,0.3028170820325613,0.13303824101699907
1234,20,27,15,5.227809442722849,0.4878274080110714,0.06842308992054313,0.48733805993106216,0.2707257460861001,0.3060295629547909,0.18670547899915296
1234,20,27,20,5.227809442722849,0.4928710019448772,0.06978977902326733,0.4924102460499853,0.27422261114697905,0.31096976599656045,0.2566427802167313
1234,20,27,25,5.227809442722849,0.49295408208854496,0.0730987279675901,0.4925716370344162,0.2767116478004027,0.31375539500731975,0.30642351328520495
1234,20,27,30,5.227809442722849,0.49429017992224544,0.07172653498128057,0.4937396210152656,0.2784501228132285,0.3132786999922246,0.341193013541721
1234,20,27,35,5.227809442722849,0.5005802129162475,0.0842158009763807,0.5000699779484421,0.2829140524554532,0.31867726100608706,0.4304716063862147
1234,20,27,40,5.227809442722849,0.5034124840749428,0.09506436495576054,0.5029514679918066,0.28528613154776394,0.32625412405468524,0.4779131882324295
1234,20,27,45,5.227809442722849,0.5076963730389252,0.08644114097114652,0.5072232590755448,0.29000862715765835,0.32054712693206966,0.5723631004303174
1234,20,28,10,5.227809442722849,0.4850024420302361,0.0655188059899956,0.4845386380329728,0.2680406479455996,0.30197322799358517,0.13300351618914324
1234,20,28,15,5.227809442722849,0.48675287899095565,0.06753077707253397,0.4863699449924752,0.27129458186682315,0.30583587707951665,0.19808219461361337
1234,20,28,20,5.227809442722849,0.4934661079896614,0.06945235806051642,0.4929609929677099,0.27352496584062463,0.3075919799739495,0.24268987408964354
1234,20,28,25,5.227809442722849,0.4951809400226921,0.06937980896327645,0.494761202018708,0.27646075339871456,0.31256604904774576,0.3014056252514424
1234,20,28,30,5.227809442722849,0.49477829795796424,0.07158349198289216,0.4943825559457764,0.27890125469421034,0.31336171098519117,0.35021565116135794
1234,20,28,35,5.227809442722849,0.4985900509636849,0.08361932204570621,0.49819815903902054,0.282333527202718,0.3168057450093329,0.41886110133150983
1234,20,28,40,5.227809442722849,0.500726185971871,0.09870833589229733,0.5002909490140155,0.2861543309467379,0.3241153050912544,0.49527717621190864
1234,20,28,45,5.227809442722849,0.5054685899522156,0.08447797398548573,0.5050555130001158,0.290279537870083,0.32293593301437795,0.5777813146788107
1234,20,29,10,5.227809442722849,0.48146254708990455,0.06482029694598168,0.481092915055342,0.26786128419335,0.30182352592237294,0.12941624114415068
1234,20,29,15,5.227809442722849,0.4878847589716315,0.06770248408429325,0.4874605470104143,0.27051565115107223,0.3050964140566066,0.1825035802985953
1234,20,29,20,5.227809442722849,0.49256774003151804,0.06782742904033512,0.49213346489705145,0.2748508259479422,0.31177108094561845,0.2692070762359949
1234,20,29,25,5.227809442722849,0.4927096429746598,0.07572728104423732,0.49224860896356404,0.27937602289021013,0.3148382198996842,0.35971101508135367
1234,20,29,30,5.227809442722849,0.4945427490165457,0.0717206789413467,0.49392788694240153,0.2788073503586929,0.3145928119774908,0.3483375644510092
1234,20,29,35,5.227809442722849,0.5013525510439649,0.08318090392276645,0.5009365939768031,0.2826810669444967,0.31820552109275013,0.42581189616708476
1234,20,29,40,5.227809442722849,0.4992068230640143,0.0948010990396142,0.4988115709275007,0.2849323498958256,0.32580544892698526,0.4708375551936628
1234,20,29,45,5.227809442722849,0.5044417770113796,0.08732315804809332,0.5040345980087295,0.28923939596861603,0.31714098202064633,0.5569784766494708
1234,20,30,10,5.227809442722849,0.4837302620289847,0.06641297100577503,0.48335500399116427,0.26792811600025745,0.3040284710004926,0.13075287728229928
1234,20,30,15,5.227809442722849,0.48921812209300697,0.06783069099765271,0.48882360802963376,0.27066768665099517,0.3061121760401875,0.18554429029705394
1234,20,30,20,5.227809442722849,0.4888270169030875,0.0704648980172351,0.4884027640800923,0.2738589624641463,0.30989402905106544,0.24936980656007696
1234,20,30,25,5.227809442722849,0.49568098899908364,0.070556245977059,0.4951791900675744,0.2769218373054173,0.3145746999653056,0.3106273033854963
1234,20,30,30,5.227809442722849,0.49530107993632555,0.07133848196826875,0.494864861946553,0.27842956469976343,0.31268310407176614,0.3407818512724193
1234,20,30,35,5.227809442722849,0.5018201739294454,0.08267764304764569,0.5014143820153549,0.2828901817498263,0.31955353589728475,0.4299941922736766
1234,20,30,40,5.227809442722849,0.5074730491032824,0.09748096892144531,0.5069560629781336,0.287924687738996,0.3265878000529483,0.5306843120570706
